Model,R2 Score,MAE,RMSE,MAPE (%),Elapsed Times
LSTM without tuning,0.24966009329703176,2.3255280519227277,2.707152330044029,2.0085921652027214,0 minutes and 21.64 seconds
LSTM with tuning,0.9363282452878773,0.6071716127962025,0.7886005594294134,0.5230346029811156,3 minutes and 22.92 seconds
LSTM-CNN without tuning,0.5797517943149005,1.7068720433567883,2.0259867718573035,1.4684231517221322,0 minutes and 25.52 seconds
LSTM-CNN with tuning,0.8868577215955789,0.8437743014085789,1.0512260914868046,0.7251188174697567,5 minutes and 11.14 seconds
BiLSTM-CNN without tuning,0.49904199733895005,1.7314003230546362,2.211995967318723,1.4673711229118467,0 minutes and 31.88 seconds
BiLSTM-CNN with tuning,0.9386376197117878,0.5977910176427976,0.7741672058723124,0.513396186139814,9 minutes and 8.21 seconds
LSTM-GRU without tuning,0.5454906076060768,1.6968736000200477,2.1069542361167075,1.469718932560094,0 minutes and 22.06 seconds
LSTM-GRU with tuning,0.9335013129472678,0.6255807240499539,0.8059167958507794,0.5388522716506614,3 minutes and 53.36 seconds
LSTM with tuning & New Features,0.9300898241939163,0.6382348290142538,0.8263306630759776,0.5493411399296397,3 minutes and 52.45 seconds
LSTM-CNN with tuning & New Features,0.8879897239504283,0.835315573177515,1.0459540485700665,0.7185960083552999,5 minutes and 5.70 seconds
BiLSTM-CN with tuning & New Features,0.9368641434185422,0.6097365267099546,0.7852748888803117,0.5243774392462361,10 minutes and 24.04 seconds
LSTM-GRU with tuning & New Features,0.9368491169521864,0.599245473325616,0.7853683318564549,0.5152890082350899,4 minutes and 25.09 seconds
LSTM with tuning & PCA,0.9967828195933081,0.14526020570412657,0.18370327499828942,0.1251205382773876,3 minutes and 4.95 seconds
LSTM-CNN with tuning & PCA,0.9978068068969682,0.12499419973833106,0.15167626545952612,0.10751201967784912,4 minutes and 34.75 seconds
BiLSTM-CNN with tuning & PCA,0.9974637826601456,0.13083523568647365,0.16310693431907808,0.11217941496509364,3 minutes and 48.87 seconds
LSTM-GRU with tuning & PCA,0.9967202738819751,0.14762971518179085,0.18548038148381651,0.1270101225582964,2 minutes and 47.18 seconds
